
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13    | 13   | A4781866 | 312034976701   |      2.000 | EA  | 13626301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
GS2B  | 97B  | A4770598 | 312034976701   |     20.000 | EA  | 97300101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
GS3   | 88   | A4813099 | 312034976701   |      1.000 | EA  | 88080401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
12    | 12   | A4786691 | 312034976701   |     10.000 | EA  | 12586101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
GS1   | 75   | A4824624 | 312034976701   |      5.000 | CA  | 75060501   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
15    | 15   | A4769408 | 312034977001   |      1.000 | EA  | 15731101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5541       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4706117 | 312034977301   |      3.000 | EA  | 13145402   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5556       | BLACKWOODS LTD                      | 
09    | 09   | A4781885 | 312034977301   |      1.000 | EA  | 09191401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5556       | BLACKWOODS LTD                      | 
18    | 18   | A4379398 | 312034977501   |     24.000 | EA  | 18194601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4020       | J. BLACKWOOD & SON PTY LIMITED      | 
18    | 18   | A4821801 | 312034978101   |      6.000 | EA  | 18051601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 85   | A4777025 | 312034978301   |      2.000 | EA  | 85170301   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 82C  | A4821679 | 312034978401   |      2.000 | EA  | 82360601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5516       | BLACKWOODS LISMORE NSW              | 
19    | 19   | A4588222 | 312034978701   |      4.000 | EA  | 19151401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 89   | A4678974 | 312034979401   |      8.000 | EA  | 89050601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4009       | BW PORT HEDLAND                     | 
18    | 18   | A4824129 | 312034979901   |     10.000 | EA  | 18223002   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4001       | BLACKWOODS MELBOURNE VIC            | 
WHSE  | 34   | A4759727 | 312034980001   |     36.000 | EA  | 70180102   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 87A  | A4725380 | 312034980701   |     10.000 | RL  | 87200202   |           | 04/12/13 | 05:15:53 | CONCURRE | 883089       | COFFS HARBOUR EDUCATION CAMPUS      | 
GS1   | 80   | A4725379 | 312034980701   |      4.000 | RL  | 80100301   |           | 04/12/13 | 05:15:53 | CONCURRE | 883089       | COFFS HARBOUR EDUCATION CAMPUS      | 
DEST  | 07A  | A4724810 | 312034981201   |      2.000 | EA  | 27010501   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34A  | A4732097 | 312034981202   |    120.000 | EA  | 71090201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4799784 | 312034981701   |    280.000 | EA  | 13732104   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5507       | BLACKWOODS GLADSTONE QLD            | 
15    | 15   | A4734015 | 312034982201   |     15.000 | EA  | 15610101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4005       | J. BLACKWOOD & SON PTY LIMITED      | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   2
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS3A  | 87A  | A4726927 | 312034982301   |     19.000 | EA  | 87050102   |           | 04/12/13 | 05:15:53 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04A  | A4818170 | 312034982302   |    120.000 | EA  | 33670601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04A  | A4759787 | 312034982302   |     84.000 | EA  | 34681001   |           | 04/12/13 | 05:15:53 | CONCURRE | BT6011       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 77A  | A4677658 | 312034983301   |      3.000 | EA  | 77100101   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4006       | SKF AUSTRALIA PTY LTD               | 
WHSE  | 04A  | A4764877 | 312034983401   |     12.000 | EA  | 33670601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4005       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04A  | A4786703 | 312034983401   |     24.000 | EA  | 34130601   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4005       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 87A  | A4793060 | 312034983501   |      2.000 | EA  | 87080302   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 88A  | A4820895 | 312034983501   |      1.000 | EA  | 88170201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4697777 | 312034983501   |      1.000 | PH  | 08022502   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 95   | A4713956 | 312034984901   |     12.000 | EA  | 95080401   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
09    | 09   | A4759758 | 312034984901   |     10.000 | EA  | 09635702   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34   | A4770718 | 312034984902   |     12.000 | EA  | 70140102   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4017       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4811745 | 312034986901   |      2.000 | EA  | 07011304   |           | 04/12/13 | 05:15:53 | CONCURRE | BT4006       | BLACKWOODS CAROLE PARK QLD          | 
17    | 17   | A3883240 | 312034987001   |     10.000 | EA  | 17183201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5518       | BLACKWOODS TOOWOOMBA QLD            | 
WHSE  | 04   | A4759410 | 312034987001   |      3.000 | MR  | 49080201   |           | 04/12/13 | 05:15:53 | CONCURRE | BT5518       | BLACKWOODS TOOWOOMBA QLD            | 
