
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
09    | 09   | A4825152 | 311224333204   |      6.000 | EA  | 09692306   |           | 04/12/13 | 05:26:26 | CONCURRE | 050999       | AMCOR BOTANY                        | 
16    | 16   | A4823251 | 311234394404   |     29.000 | EA  | 16053502   |           | 04/12/13 | 05:26:26 | CONCURRE | 124959       | WESTERN SYDNEY CONCRETE TESTING PTY | 
20    | 20   | A4812406 | 311254411403   |      2.000 | EA  | 20150701   |           | 04/12/13 | 05:26:26 | CONCURRE | BT6023       | J. BLACKWOOD & SON                  | 
GS3   | 88   | A4825439 | 311254424205   |    652.000 | EA  | 88041003   |           | 04/12/13 | 05:26:26 | CONCURRE | 278138       | AUSGRID - FASTENERS CONTRACT        | 
14    | 14   | A4825063 | 311254437509   |    150.000 | EA  | 14031505   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
09    | 09   | A4825066 | 311254437509   |    400.000 | EA  | 09660805   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
11    | 11   | A4821011 | 311254439505   |     59.000 | EA  | 11011601   |           | 04/12/13 | 05:26:26 | CONCURRE | 117143       | QUICKSTEP TECHNOLOGIES PTY LTD      | 
13    | 13   | A4825281 | 311254439505   |     99.000 | EA  | 13134403   |           | 04/12/13 | 05:26:26 | CONCURRE | 117143       | QUICKSTEP TECHNOLOGIES PTY LTD      | 
GS2B  | 83B  | A4815916 | 311254448601   |     10.000 | EA  | 83270101   |           | 04/12/13 | 05:26:26 | CONCURRE | 881272       | STATE TRANSIT AUTHORITY - BUS       | 
18    | 18   | A4712093 | 310292837901   |      4.000 | EA  | 18706202   |           | 04/12/13 | 05:26:26 | CONCURRE | 021020       | HALLIDAY ENGINEERING PTY LTD        | 
GS2B  | 82B  | A4800398 | 310302929601   |      6.000 | EA  | 82270101   |           | 04/12/13 | 05:26:26 | CONCURRE | 021020       | HALLIDAY ENGINEERING PTY LTD        | 
GS2A  | 96A  | A4753181 | 311264500604   |      1.000 | EA  | 96200101   |           | 04/12/13 | 05:26:26 | CONCURRE | 880242       | DEPARTMENT OF SERVICES, TECH & ADMI | 
GS2A  | 96A  | A4753181 | 311264509301   |      1.000 | EA  | 96200101   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
WHSE  | 04   | A4746761 | 311264512804   |      1.000 | EA  | 36040304   |           | 04/12/13 | 05:26:26 | CONCURRE | 007561       | AMCOR BEVERAGE CANS                 | 
GS1A  | 75A  | A4825724 | 311274596705   |      7.000 | EA  | 75210101   |           | 04/12/13 | 05:26:26 | CONCURRE | 087494       | VITERRA LTD (SOUTH EAST AREA)       | 
07    | 07   | A4825376 | 311274620105   |     23.000 | EA  | 07181401   |           | 04/12/13 | 05:26:26 | CONCURRE | 029196       | QANTAS AIRWAYS LTD                  | 
10    | 10   | A4677004 | 311274634010   |      4.000 | EA  | 10022801   |           | 04/12/13 | 05:26:26 | CONCURRE | 055107       | DEFENCE MARITIME ORGANISATION       | 
16    | 16   | A4824375 | 311274635305   |      1.000 | PR  | 16176201   |           | 04/12/13 | 05:26:26 | CONCURRE | BT5536       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 87   | A4825499 | 311274644704   |      2.000 | EA  | 87150702   |           | 04/12/13 | 05:26:26 | CONCURRE | 099287       | JAC0N TECHNOLOGIES PTY LTD          | 
16    | 16   | A4825375 | 311274645406   |      4.000 | EA  | 16575601   |           | 04/12/13 | 05:26:26 | CONCURRE | 555555       | WEIR MINERALS LTD                   | 
17    | 17   | A4825728 | 311284696504   |     10.000 | EA  | 17704902   |           | 04/12/13 | 05:26:26 | CONCURRE | 280359       | DOWNER EDI RAIL PTY LTD             | 
WHSE  | 04   | A4746761 | 311284703403   |      4.000 | EA  | 36040304   |           | 04/12/13 | 05:26:26 | CONCURRE | 007561       | AMCOR BEVERAGE CANS                 | 
WHSE  | 04A  | A4743013 | 311284732803   |      1.000 | EA  | 33600501   |           | 04/12/13 | 05:26:26 | CONCURRE | 067378       | NATIONWIDE OIL PTY LTD              | 
19    | 19   | A4738167 | 311284749306   |      1.000 | EA  | 19055305   |           | 04/12/13 | 05:26:26 | CONCURRE | 054279       | ROCHE PRODUCTS                      | 
17    | 17   | A4823652 | 311284749403   |      3.000 | EA  | 17675201   |           | 04/12/13 | 05:26:26 | CONCURRE | 038107       | COTS - HMAS BALLARAT                | 
GS1A  | 83A  | A4788136 | 311294775603   |      6.000 | BX  | 83160101   |           | 04/12/13 | 05:26:26 | CONCURRE | 003246       | NU-CON AUST PTY LTD                 | 
GS2C  | 93C  | A4824491 | 311294793703   |     12.000 | EA  | 93240303   |           | 04/12/13 | 05:26:26 | CONCURRE | 880311       | PADSTOW TAFE                        | 
GS3A  | 92A  | A4783110 | 311294819204   |      1.000 | EA  | 92090202   |           | 04/12/13 | 05:26:26 | CONCURRE | 279001       | PERTEN INSTRUMENTS OF AUSTRALIA PTY | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   4
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS3A  | 92A  | A4765879 | 311304827703   |      6.000 | EA  | 92080102   |           | 04/12/13 | 05:26:26 | CONCURRE | 021322       | HYCAST METALS PTY LTD               | 
GS2   | 85   | A4791435 | 312024831403   |     10.000 | BX  | 85160301   |           | 04/12/13 | 05:26:26 | CONCURRE | 070158       | WOOLWORTHS                          | 
GS2A  | 86A  | A4800893 | 312024834503   |     30.000 | PR  | 86090101   |           | 04/12/13 | 05:26:26 | CONCURRE | 680004       | PROCESS ENGINEERING TECHNOLOGIES    | 
GS1A  | 84A  | A4749555 | 312024838605   |    815.000 | PR  | 84030101   |           | 04/12/13 | 05:26:26 | CONCURRE | 260863       | INDUSTRIAL&SAFETY WAREHOUSE PTY LTD | 
GS1   | 83   | A4749555 | 312024838605   |    265.000 | PR  | 83030301   |           | 04/12/13 | 05:26:26 | CONCURRE | 260863       | INDUSTRIAL&SAFETY WAREHOUSE PTY LTD | 
19    | 19   | A4825725 | 312024862503   |      1.000 | PH  | 19175201   |           | 04/12/13 | 05:26:26 | CONCURRE | 263118       | Natalie Al-Aaraj EP01 MAIN STORE ER | 
WHSE  | 26   | A4824830 | 312024886403   |      1.000 | EA  | BULKREC    |           | 04/12/13 | 05:26:26 | CONCURRE | 123268       | FLEXONICS - FLEXIBLE PIPING SYSTEMS | 
15    | 15   | A4772598 | 312034999501   |     12.000 | EA  | 15090801   |           | 04/12/13 | 05:26:26 | CONCURRE | 259777       | CSR BUILDING MATERIALS CEMINTEL     | 
15    | 15   | A4768331 | 312034999501   |     10.000 | EA  | 15160801   |           | 04/12/13 | 05:26:26 | CONCURRE | 259777       | CSR BUILDING MATERIALS CEMINTEL     | 
10    | 10   | A4656752 | 312035000301   |      3.000 | EA  | 10514004   |           | 04/12/13 | 05:26:26 | CONCURRE | 880012       | ANSTO                               | 
10    | 10   | A3966331 | 312035000301   |     20.000 | EA  | 10514603   |           | 04/12/13 | 05:26:26 | CONCURRE | 880012       | ANSTO                               | 
10    | 10   | A4825687 | 312035000301   |      8.000 | EA  | 10513906   |           | 04/12/13 | 05:26:26 | CONCURRE | 880012       | ANSTO                               | 
10    | 10   | A4734772 | 312035000301   |     20.000 | EA  | 10514203   |           | 04/12/13 | 05:26:26 | CONCURRE | 880012       | ANSTO                               | 
08    | 08   | A4407907 | 312035000401   |     12.000 | EA  | 08143101   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
08    | 08   | A4524223 | 312035000401   |      1.000 | EA  | 08643001   |           | 04/12/13 | 05:26:26 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
GS2B  | 84B  | A4685780 | 312035000501   |      1.000 | EA  | 84320101   |           | 04/12/13 | 05:26:26 | CONCURRE | 885276       | HMAS PENGUIN                        | 
GS2B  | 97B  | A4774981 | 312035000501   |     10.000 | EA  | 97240201   |           | 04/12/13 | 05:26:26 | CONCURRE | 885276       | HMAS PENGUIN                        | 
20    | 20   | A4356749 | 312035000501   |      1.000 | EA  | 20611001   |           | 04/12/13 | 05:26:26 | CONCURRE | 885276       | HMAS PENGUIN                        | 
18    | 18   | A4690180 | 312035000501   |      2.000 | EA  | 18203301   |           | 04/12/13 | 05:26:26 | CONCURRE | 885276       | HMAS PENGUIN                        | 
GS3   | 87   | A4724295 | 312045001001   |      1.000 | PH  | 87080904   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS3   | 91   | A4804476 | 312045001001   |      5.000 | EA  | 91091104   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
13    | 13   | A4769729 | 312045001001   |     19.000 | EA  | 13063602   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS2B  | 93B  | A4801217 | 312045001001   |      2.000 | EA  | 93240202   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
10    | 10   | A4825780 | 312045001001   |     20.000 | PH  | 10024401   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS3   | 89   | A4751575 | 312045001101   |      2.000 | EA  | 89030405   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
13    | 13   | A4624132 | 312045001101   |    248.000 | EA  | 13702701   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS2A  | 86A  | A4819398 | 312045001101   |     80.000 | PR  | 86160201   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS3A  | 89A  | A4819439 | 312045001101   |    144.000 | PR  | 89060304   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS2B  | 86B  | A4788536 | 312045001101   |     72.000 | PR  | 86310101   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
GS1   | 79   | A4814134 | 312045001201   |    122.000 | PR  | 79180501   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | BLACKWOODS COFFS HARBOUR            | 
07    | 07   | A4671560 | 312045001301   |      5.000 | EA  | 07131001   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
WHSE  | 01A  | A4789096 | 312045001301   |      4.000 | EA  | 46010106   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS2   | 86   | A4711952 | 312045001301   |      1.000 | EA  | 86130301   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS1D  | 80D  | A4823216 | 312045001301   |     69.000 | EA  | 80310901   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS1A  | 80A  | A4738771 | 312045001301   |      5.000 | EA  | 80040101   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS2   | 85   | A4783996 | 312045001401   |     16.000 | RL  | 85060501   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS1A  | 78A  | A4820677 | 312045001401   |      2.000 | EA  | 78220501   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J.BLACKWOOD & SON LIMITED           | 
GS2   | 86   | A4810156 | 312045001501   |      1.000 | PR  | 86020501   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J. BLACKWOOD & SON LIMITED          | 
20    | 20   | A4820637 | 312045001501   |      2.000 | EA  | 20531901   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J. BLACKWOOD & SON LIMITED          | 
GS1   | 82   | A4714322 | 312045001501   |      1.000 | EA  | 82190301   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J. BLACKWOOD & SON LIMITED          | 
WHSE  | 04A  | A4764877 | 312045001502   |      4.000 | EA  | 33670601   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J. BLACKWOOD & SON LIMITED          | 
WHSE  | 04A  | A4815427 | 312045001502   |      6.000 | EA  | 34140601   |           | 04/12/13 | 05:26:26 | CONCURRE | BT4012       | J. BLACKWOOD & SON LIMITED          | 
WHSE  | 34   | A4758732 | 312035000502   |      1.000 | EA  | 70230201   |           | 04/12/13 | 05:26:26 | CONCURRE | 885276       | HMAS PENGUIN                        | 
08    | 08   | A4825151 | 312045001601   |      1.000 | EA  | 08225803   |           | 04/12/13 | 06:44:01 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
19    | 19   | A4807458 | 312045001601   |      1.000 | EA  | 19022104   |           | 04/12/13 | 06:44:01 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
18    | 18   | A4705988 | 312045001601   |      1.000 | EA  | 18171002   |           | 04/12/13 | 06:44:01 | CONCURRE | 116090       | SYDNEY TRAINS                       | 
08    | 08   | A4825953 | 311294778805   |    200.000 | PR  | 08662402   |           | 04/12/13 | 06:50:45 | CONCURRE | BT4018       | J. BLACKWOOD & SON LIMITED          | 
08    | 08   | A4826275 | 311133721207   |      1.000 | EA  | 08202501   |           | 04/12/13 | 07:00:42 | CONCURRE | 172115       | HOLCIM (AUSTRALIA) PTY LTD          | 
09    | 09   | A4825934 | 311264527804   |     16.000 | EA  | 09210301   |           | 04/12/13 | 07:16:25 | CONCURRE | 008652       | N SEVEN HILLS ASP MAINT             | 
WHSE  | 34A  | A4792712 | 312045002002   |     10.000 | EA  | 71130201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34A  | A4823494 | 312045002002   |      5.000 | EA  | 71120201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 34   | A4757944 | 312045002002   |     12.000 | EA  | 70170402   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 83C  | A4793220 | 312045002001   |      6.000 | EA  | 83240601   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   5
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GS2A  | 97A  | A4751275 | 312045002001   |      9.000 | RL  | 97090101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4797901 | 312045002001   |      3.000 | EA  | 14695401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 89   | A4752186 | 312045002001   |      3.000 | EA  | 89070802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 94   | A4805073 | 312045002001   |      1.000 | EA  | 94080903   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 84A  | A4823069 | 312045002001   |      6.000 | BX  | 84190201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
20    | 20   | A4795872 | 312045002001   |      1.000 | EA  | 20184201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 88   | A4822213 | 312045002001   |     10.000 | PR  | 88131005   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
18    | 18   | A4820976 | 312045002001   |      6.000 | EA  | 18064002   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
16    | 16   | A4666908 | 312045002001   |      2.000 | EA  | 16123401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
18    | 18   | A4783307 | 312045002001   |      6.000 | EA  | 18195602   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4756538 | 312045002001   |      6.000 | EA  | 07053605   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 03   | A4654811 | 312045002001   |    250.000 | MR  | 22720101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4668012 | 312045002001   |      9.000 | EA  | 08734801   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 90A  | A4811986 | 312045002001   |      4.000 | EA  | 90120201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 96B  | A4777508 | 312045002001   |     12.000 | EA  | 96230201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 86B  | A4824517 | 312045002001   |     38.000 | PH  | 86240202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4613047 | 312045002001   |      6.000 | EA  | 15013701   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
11    | 11   | A4718560 | 312045002001   |    103.000 | EA  | 11512101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 96C  | A4794740 | 312045002001   |      6.000 | EA  | 96260601   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
07    | 07   | A4812239 | 312045002001   |      3.000 | CA  | 07623601   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4749406 | 312045002001   |      4.000 | EA  | 08033901   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 78   | A4775161 | 312045002001   |      9.000 | EA  | 78070301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 04B  | A4738609 | 312045002001   |      4.000 | EA  | 22010201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2A  | 96A  | A4793641 | 312045002001   |     11.000 | EA  | 96030202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4780524 | 312045002001   |      7.000 | EA  | 13032703   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4813418 | 312045002001   |      3.000 | PR  | 15566201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 93   | A4745040 | 312045002001   |    100.000 | EA  | 93090902   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 84C  | A4751584 | 312045002001   |      4.000 | CA  | 84230601   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3A  | 89A  | A4824488 | 312045002001   |     28.000 | RL  | 89160103   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 86   | A4800070 | 312045002001   |      2.000 | EA  | 86040401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
20    | 20   | A4803483 | 312045002001   |      1.000 | EA  | 20535602   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2   | 97   | A4812563 | 312045002001   |      1.000 | EA  | 97150401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1D  | 80D  | A4779095 | 312045002001   |      6.000 | EA  | 80291002   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 83B  | A4791913 | 312045002001   |      2.000 | EA  | 83320202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 84B  | A4782810 | 312045002001   |     18.000 | EA  | 84230101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 96B  | A4814827 | 312045002001   |      4.000 | EA  | 96290202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 87   | A4713986 | 312045002001   |      1.000 | EA  | 87110802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 97C  | A4804635 | 312045002001   |      4.000 | EA  | 97340401   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 86C  | A4694993 | 312045002001   |     44.000 | EA  | 86290301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2B  | 92B  | A4736833 | 312045002001   |      1.000 | EA  | 92090204   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
14    | 14   | A4788887 | 312045002101   |      4.000 | EA  | 14151001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
13    | 13   | A4680181 | 312045002101   |      2.000 | EA  | 13192001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
16    | 16   | A4777249 | 312045002101   |      1.000 | EA  | 16551701   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
09    | 09   | A4418568 | 312045002101   |      1.000 | EA  | 09695801   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
12    | 12   | A4794240 | 312045002101   |      4.000 | EA  | 12151002   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 79A  | A4727683 | 312045002101   |      5.000 | EA  | 79180101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
09    | 09   | A4678063 | 312045002101   |      3.000 | EA  | 09524202   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4766542 | 312045002101   |      4.000 | EA  | 15525701   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
WHSE  | 27   | A4157996 | 312045002101   |    939.000 | MR  | 48520301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1A  | 81A  | A4807321 | 312045002101   |      4.000 | CA  | 81090101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2C  | 85C  | A4695894 | 312045002101   |      2.000 | EA  | 85230301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS1   | 84   | A4782228 | 312045002101   |      2.000 | EA  | 84210301   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS2A  | 86A  | A4814118 | 312045002101   |     24.000 | PR  | 86020201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
RF QUEUE REPORT   WEDNESDAY, DECEMBER 4, 2013 08:21          PAGE   6
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PICK  | PICK | STOCK ID | REFERENCE      | QUANTITY   | UOM | FROM       | ASSIGN TO | ACTIONED | ACTIONED | CREATED  | CUSTOMER     | CUSTOMER                            | 
GROUP | LINE |          | NUMBER         |            |     | LOCATION   | EMPLOYEE  | DATE     | TIME     | EMPLOYEE | CODE         | NAME                                | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11    | 11   | A4762788 | 312045002101   |    106.000 | EA  | 11665802   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
15    | 15   | A4649470 | 312045002101   |      5.000 | EA  | 15655201   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
08    | 08   | A4749813 | 312045002101   |      4.000 | EA  | 08522701   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
19    | 19   | A4810371 | 312045002101   |      4.000 | EA  | 19522001   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
19    | 19   | A4705978 | 312045002101   |      2.000 | EA  | 19521002   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
16    | 16   | A4824587 | 312045002101   |      7.000 | EA  | 16040101   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
GS3   | 88   | A4785588 | 312045002101   |      1.000 | EA  | 88070805   |           | 04/12/13 | 07:36:20 | CONCURRE | BT4013       | J. BLACKWOOD & SON PTY LIMITED      | 
