
J. BLACKWOOD & SON LIMITED           OUTSTANDING ORDER NOT APPEARED IN RF QUEUE TUESDAY, JUNE 25, 2013 14:07
----------------------------------------------------------------------------------------------------------------------------------
ORDER               |RECEIVED|PRODUCT             |STOCKID |LOCATION            |ORDERED   |UO| POSSIBLE REASONS
306253949800        |25/06/13|03475215            |        |                    |         6|EA|
306253949800        |25/06/13|03475385            |        |                    |         4|EA|
306253949800        |25/06/13|03483392            |        |                    |         2|EA|
306253949800        |25/06/13|03741010            |        |                    |         1|EA|
306253949800        |25/06/13|04011105            |        |                    |        20|EA|
306253949800        |25/06/13|04157807            |        |                    |        20|EA|
306253949800        |25/06/13|04160205            |        |                    |        20|EA|Stock A4668905 is allocated
306253949800        |25/06/13|04324314            |        |                    |         5|EA|
306253949800        |25/06/13|04324705            |        |                    |         6|EA|
306253949800        |25/06/13|04331063            |        |                    |        48|PR|
306253949800        |25/06/13|04580562            |        |                    |         6|EA|
306253949800        |25/06/13|05044210            |        |                    |        24|RL|
306253949800        |25/06/13|05115766            |        |                    |        60|PR|
306253950600        |25/06/13|03870606            |        |                    |         1|EA|
306253952000        |25/06/13|00449108            |        |                    |         1|EA|
306253951600        |25/06/13|00736083            |        |                    |         1|EA|
306253951600        |25/06/13|04242164            |        |                    |        10|EA|
306253954900        |25/06/13|00675631            |        |                    |         2|EA|Stock A4721966 is allocated,Stock A4724876 is blocked for putaway or replenishment,Stock A4724875 is blocked for putaway or replenishment
306253956400        |25/06/13|00966348            |        |                    |         4|EA|
306253956400        |25/06/13|03751709            |        |                    |       200|EA|
306253956400        |25/06/13|04597412            |        |                    |         6|EA|
306253956900        |25/06/13|04974989            |        |                    |         1|EA|Stock A4724847 is blocked for putaway or replenishment,Stock A4724860 is blocked for putaway or replenishment
306253957200        |25/06/13|06251961            |        |                    |         2|PR|
306253958300        |25/06/13|09005200            |        |                    |         1|EA|
306253959400        |25/06/13|00247129            |        |                    |        25|EA|
306253959400        |25/06/13|00369554            |        |                    |         3|EA|
306253959400        |25/06/13|04002907            |        |                    |         1|EA|
306253959400        |25/06/13|07889911            |        |                    |         1|EA|
306253960500        |25/06/13|04512701            |        |                    |         2|EA|Stock A4724692 is blocked for putaway or replenishment
306253963500        |25/06/13|00247129            |        |                    |         1|EA|
306253963800        |25/06/13|02910645            |        |                    |         1|EA|
