
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT TUESDAY, JUNE 25, 2013 11:24     PAGE   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
RECEIVE              | 07682801             |  1 | A4724854 |      2    | EA | U       u | Putaway   | 25/06 11:18 | SM532585 | 00642905  BUFF CALICO LOOSE LEAF B 100 FOLD X200MM
RECEIVE              | 07684102             |  1 | A4722740 |      9    | EA | U       u | Putaway   | 22/06 06:13 | SM533471 | 00547505  POINT MOUNTED NO.  B44  38A90 (209457)  
RECEIVE              | 08036006             |  1 | A4724803 |    100    | MR | U       u | Putaway   | 25/06 10:42 | SM532831 | 04415803  HOSE PVC PRESSURE TMP/TPR TRANSLUC 16MM 
RECEIVE              | 08091902             |  1 | A4724838 |      5    | EA | U       u | Putaway   | 25/06 11:11 | SM532622 | 01144456  DRILL STEP UNIBIT #2/4 3/8"SK 3/16"-7/8"
RECEIVE              | 08096201             |  1 | A4724839 |      1    | EA | U       u | Putaway   | 25/06 11:11 | SM532622 | 02152853  KIT PLIERS CIRCLIP MILBAR 12/43R        
RECEIVE              | 08120801             |  1 | A4724550 |     84    | PR | U       u | Putaway   | 25/06 09:31 | SM534054 | 02904899  GLOVES RUBBER SILVERLINED BLUE 3545 9   
RECEIVE              | 08200802             |  1 | A4724842 |      5    | EA | U       u | Putaway   | 25/06 11:11 | SM532622 | 09873115  DRILL STEP UNIBIT #2/1 1/4"SHK 1/8"-1/2"
RECEIVE              | 08206102             |  1 | A4724713 |     72    | EA | U       u | Putaway   | 25/06 10:07 | SM532838 | 01521813  MARKER PAINT UNI PX20 RED               
RECEIVE              | 08430106             |  1 | A4720297 |      8    | EA | U       u | Putaway   | 19/06 08:32 | SM531306 | 07278110  BATTERY WATCH ENERGIZER 1.5V ER 357BP1  
RECEIVE              | 08624701             |  1 | A4724742 |     24    | EA | U       u | Putaway   | 25/06 10:12 | SM533257 | 01220029  SHACKLE D S/S316 10MM                   
RECEIVE              | 08632202             |  1 | A4724271 |     96    | EA | U       u | Putaway   | 24/06 16:48 | SM534131 | 04076794  TAPE MASKING G/PURP TESA 4307 72MM X 50M
RECEIVE              | 08671601             |  1 | A4724350 |    200    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 02750056  WASHER BELLVILLE SS304 8MM              
RECEIVE              | 08682601             |  1 | A4724655 |      2    | EA | U       u | Putaway   | 25/06 09:55 | SM532699 | 00909606  VALVE AUTO DRAIN NO SMC AD402-04 1/2"BSP
RECEIVE              | 08710301             |  1 | A4724673 |      2    | PR | U       u | Putaway   | 25/06 09:59 | SM531263 | 00583414  BOOTS SAFETY TREDLITE HIGHBANK BLK 10   
RECEIVE              | 08712901             |  1 | A4724845 |      1    | EA | U       u | Putaway   | 25/06 11:12 | SM532653 | 00097359  SOCKET STD DEEP 3/4" SQ DR DBL HEX 33MM 
     COMPANY : J. BLACKWOOD & SON LIMITED      
     PUTAWAY LIST AT TUESDAY, JUNE 25, 2013 11:24     PAGE   2
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Location                       | Stock ID | Quantity  | UOM| Confirm | Putaway   | Date & Time | Receipt  | Product
         From        |          To          |  # |          |           |    |         | Priority  |             | Number   |        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
RECEIVE              | 08722601             |  1 | A4723106 |     10    | EA | U       u | Putaway   | 22/06 08:15 | SM533658 | 05340707  FAN GRINDER F 6030/6 A80 60 X 30        
RECEIVE              | 09023602             |  1 | A4724718 |     24    | EA | U       u | Putaway   | 25/06 10:07 | SM528096 | 05999477  TREFOLEX 3065 HD C/FLUID S/BOTTLE 500ML 
RECEIVE              | 09102001             |  1 | A4724790 |    100    | EA | U       u | Putaway   | 25/06 10:30 | SM533253 | 01010604  GRIP ROPE WIRE GAL A.S. 5/16" 8MM       
RECEIVE              | 09115801             |  1 | A4724831 |     30    | EA | U       u | Putaway   | 25/06 11:02 | SM532786 | 02378666  TUBE FLUOR 16X300MM MINIATURE  8W WHITE 
RECEIVE              | 09181802             |  1 | A4724353 |     92    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 00625226  WASHER FLAT RND SS304 STD 1/4X1/2X20G   
RECEIVE              | 09193404             |  1 | A4724347 |     68    | EA | U       u | Putaway   | 25/06 08:12 | SM532634 | 00625226  WASHER FLAT RND SS304 STD 1/4X1/2X20G   
