J. BLACKWOOD & SON LIMITED           RE-ENTRY KEY/ PAGE ID ORDERS REPORT  - SORTED BY PICKING ORDER NUMBER.     TUESDAY, JUNE 25, 2013 14:06   PAGE   1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ORDER       |   ZONE   | CUSTOMER     | CUSTOMER                            |      LABEL     | RE-ENTRY |      STATUS    | PRODUCT    | ALLOCATED  | PICK | ALLOCATED |  ORDERED  |  AVAILBLE 
 NUMBER      |          | NUMBER       | NAME                                |  DATE    TIME  |   KEY    |                |            | LOCATION   | LINE | STOCK ID  |  QUANTITY |  QUANTITY
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
306042680000 | 10    | 011160       | ADVANCE METAL PRODUCTS (AUST) PTY L | 25/06/13 09:27 | 989908   | Nothing Picked | 02311917   | 07603001   | 07   | A4653055  |        94 |         0
306052751002 | 25    | 088625       | CHASSIS BRAKES INTERNATIONAL CASTIN | 25/06/13 10:34 | 990567   | Nothing Picked | 06496489   | CROSSDOC   | CRSS | A4717610  |        20 |         0
306052779401 | 07    | 096151       | BASELL AUSTRALIA PTY LTD            | 25/06/13 09:59 | 990255   | Nothing Picked | 00137088   | CROSSDOC   | CRSS | A4713934  |         4 |         0
306062837100 | 09    | 045054       | OTIS ELEVATOR COMPANY PTY LTD       | 25/06/13 12:58 | 991245   | Nothing Picked | 04600468   | 47070701   | 01A  | A4690227  |         3 |         9
306062837100 | 09    | 045054       | OTIS ELEVATOR COMPANY PTY LTD       | 25/06/13 12:58 | 991246   | Nothing Picked | 06756776   | 39560401   | 04B  | A4703693  |         1 |         2
306062848801 | 06    | 042577       | COCHLEAR  LIMITED                   | 25/06/13 09:59 | 990256   | Nothing Picked | 03104445   | CROSSDOC   | CRSS | A4713942  |       100 |         0
306072910201 | 19    | 048504       | PLASSER AUSTRALIA PTY LTD           | 25/06/13 13:16 |      0   | Nothing Picked | 02240800   |            |      | A4724995  |         1 |         0
306072910201 | 19    | 048504       | PLASSER AUSTRALIA PTY LTD           | 25/06/13 13:16 | 991337   | Nothing Picked | 02240800   | CROSSDOC   | CRSS | A4717752  |         2 |         0
306102971101 | 13    | 880018       | NSW AMBULANCE SERVICE               | 25/06/13 13:46 | 991436   | Nothing Picked | 03774415   | CROSSDOC   | CRSS | A4716813  |         4 |         0
306112977202 | 21    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 13:16 | 991328   | Nothing Picked | 00885479   | PICKRECV   | RECV | A4724976  |         1 |         0
306112977202 | 21    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 13:16 | 991329   | Nothing Picked | 01086556   | PICKRECV   | RECV | A4724977  |         2 |         0
306112977202 | 21    | 008699       | RAILCORP ECOMMERCE ARIBA ACC        | 25/06/13 13:16 | 991333   | Nothing Picked | 01087453   | PICKRECV   | RECV | A4724978  |         2 |         0
306112990305 | 99    | BT4005       | J BLACKWOOD & SON LTD  - CANBERRA   | 25/06/13 09:31 | 990001   | Nothing Picked | 04038460   | PICKRECV   | RECV | A4724539  |         1 |         0
306112993002 | 99    | BT4017       | J BLACKWOOD & SON LTD - NEWCASTLE   | 25/06/13 12:54 | 991225   | Nothing Picked | 03670000   | PICKRECV   | RECV | A4724949  |         2 |         0
306113063601 | 09    | 880359       | ST VINCENTS HOSPITAL (PUBLIC)       | 25/06/13 13:46 | 991439   | Nothing Picked | 05013783   | CROSSDOC   | CRSS | A4716817  |         1 |         0
306123070603 | 86    | BT5536       | BLACKWOODS - TUGGERAH               | 25/06/13 13:05 |      0   | Nothing Picked | 04352505   |            |      |           |         2 |        30
306123073300 | 33    | 884725       | STA - GENERAL LEICHHARDT            | 25/06/13 12:47 | 991139   | Nothing Picked | 03585749   | CROSSDOC   | CRSS | A4716818  |        24 |         0
306123076402 | 11    | 103528       | P R M REFRIGERATION                 | 25/06/13 11:11 | 990738   | Nothing Picked | 03365514   | CROSSDOC   | CRSS | A4717758  |         1 |         0
306123087803 | 99    | BT4018       | BLACKWOODS - WOLLONGONG             | 25/06/13 09:56 | 990225   | Nothing Picked | 00967045   | PICKRECV   | RECV | A4724660  |         2 |         0
306123122202 | 14    | 085741       | DEPT OF DEFENCE - AAML (EDI ONLY)   | 25/06/13 11:26 | 990812   | Nothing Picked | 05826700   | 07035901   | 07   | A4671792  |         3 |         0
306123124902 | 14    | 085708       | DEPT OF DEFENCE - JOPS (EDI ONLY)   | 25/06/13 10:41 | 990593   | Nothing Picked | 07237902   | 19053601   | 19   | A4612007  |         1 |        14
